Source.Name,user_name,rating,snippet,date,iso_date,iso_date_of_last_edit,Text Case Folding,Text Tokenizing,Text Normalization,snippet_translated,Text Stemming,Text Translating
reviews_bogo.xlsx,Lucky Rivanto,5,Ok,7 months ago,2024-03-18 09:57:31,2024-03-18 09:57:31,ok,['ok'],['ok'],Ok,[],['ok']
reviews_bogo.xlsx,Novita Catur putri,5,Nice ,2 years ago,2022-07-07 11:04:13,2022-07-07 11:04:13,nice,['nice'],['nice'],Nice ,[],['nice']
reviews_bogo.xlsx,aditiya risky,5,very friendly service,2 years ago,2022-09-25 20:13:30,2022-09-25 20:13:30,very friendly service,"['very', 'friendly', 'service']","['very', 'friendly', 'service']",layanan yang sangat ramah,[],"['very', 'friendly', 'melayani']"
reviews_bogo.xlsx,Fita Julia,5,Very good,2 years ago,2022-07-07 12:59:32,2022-07-07 12:59:32,very good,"['very', 'good']","['very', 'baik']",Very good,[],"['very', 'baik']"
reviews_bogo.xlsx,M.choirul arif,5,"Harga lmyan terjangkau, tempatnya bersih ada playground untuk anak2, pelayanan ramah n sat set,, tempat parkir lumayan luas,",6 months ago,2024-05-01 17:00:28,2024-05-01 17:00:28,harga lmyan terjangkau tempatnya bersih ada playground untuk anak pelayanan ramah  sat set tempat parkir lumayan luas,"['harga', 'lmyan', 'terjangkau', 'tempatnya', 'bersih', 'ada', 'playground', 'untuk', 'anak', 'pelayanan', 'ramah', 'sat', 'set', 'tempat', 'parkir', 'lumayan', 'luas']","['harga', 'lumayan', 'terjangkau', 'tempatnya', 'bersih', 'ada', 'playground', 'untuk', 'anak', 'pelayanan', 'ramah', 'sat', 'set', 'tempat', 'parkir', 'lumayan', 'luas']","Harga lmyan terjangkau, tempatnya bersih ada playground untuk anak2, pelayanan ramah n sat set,, tempat parkir lumayan luas,",[],"['harga', 'lumayan', 'terjangkau', 'tempatnya', 'bersih', 'ada', 'tempat bermain', 'untuk', 'anak', 'pelayanan', 'ramah', 'sat', 'set', 'tempat', 'parkir', 'lumayan', 'luas']"
reviews_bogo.xlsx,nurul fitriyah,5,Tempatnya instagramable.. Menunya banyak pilihan.. Recomended untuk anak-anak.. Ada arena bermainnya juga.. ,4 months ago,2024-07-08 17:50:42,2024-07-08 17:50:42,tempatnya instagramable menunya banyak pilihan recomended untuk anakanak ada arena bermainnya juga,"['tempatnya', 'instagramable', 'menunya', 'banyak', 'pilihan', 'recomended', 'untuk', 'anakanak', 'ada', 'arena', 'bermainnya', 'juga']","['tempatnya', 'instagramable', 'menunya', 'banyak', 'pilihan', 'recomended', 'untuk', 'anakanak', 'ada', 'arena', 'bermainnya', 'juga']",Tempatnya instagramable.. Menunya banyak pilihan.. Recomended untuk anak-anak.. Ada arena bermainnya juga.. ,[],"['tempatnya', 'instagramable', 'menunya', 'banyak', 'pilihan', 'recomended', 'untuk', 'anakanak', 'ada', 'arena', 'bermainnya', 'juga']"
reviews_bogo.xlsx,eellffoo sanderz,4,"sambal geprek nya muantaaabbb, konsisten pedasnya, ada perubahan yg awalnya berminyak sekali, jadi lebih agak kering, ada daun jeruk, pedas, asinnya dapet. ayam lumayan besar lho daripada yang di seberangnya & masih juicy lagi, gk kering seperti di seberangnya.  mbaknya juga ramah2, pelayanannya cepat & cantik. kebersihan tempat juga nilai +",3 weeks ago,2024-10-13 12:03:13,2024-10-13 12:03:13,sambal geprek nya muantaaabbb konsisten pedasnya ada perubahan yg awalnya berminyak sekali jadi lebih agak kering ada daun jeruk pedas asinnya dapet ayam lumayan besar lho daripada yang di seberangnya masih juicy lagi gk kering seperti di seberangnya mbaknya juga ramah pelayanannya cepat cantik kebersihan tempat juga nilai,"['sambal', 'geprek', 'nya', 'muantaaabbb', 'konsisten', 'pedasnya', 'ada', 'perubahan', 'yg', 'awalnya', 'berminyak', 'sekali', 'jadi', 'lebih', 'agak', 'kering', 'ada', 'daun', 'jeruk', 'pedas', 'asinnya', 'dapet', 'ayam', 'lumayan', 'besar', 'lho', 'daripada', 'yang', 'di', 'seberangnya', 'masih', 'juicy', 'lagi', 'gk', 'kering', 'seperti', 'di', 'seberangnya', 'mbaknya', 'juga', 'ramah', 'pelayanannya', 'cepat', 'cantik', 'kebersihan', 'tempat', 'juga', 'nilai']","['sambal', 'geprek', 'nya', 'mantap', 'konsisten', 'pedasnya', 'ada', 'perubahan', 'yang', 'awalnya', 'berminyak', 'sekali', 'jadi', 'lebih', 'agak', 'kering', 'ada', 'daun', 'jeruk', 'pedas', 'asinnya', 'dapat', 'ayam', 'lumayan', 'besar', 'lho', 'daripada', 'yang', 'di', 'seberangnya', 'masih', 'juicy', 'lagi', 'enggak', 'kering', 'seperti', 'di', 'seberangnya', 'kakaknya', 'juga', 'ramah', 'pelayanannya', 'cepat', 'cantik', 'kebersihan', 'tempat', 'juga', 'nilai']","sambal geprek nya muantaaabbb, konsisten pedasnya, ada perubahan yg awalnya berminyak sekali, jadi lebih agak kering, ada daun jeruk, pedas, asinnya dapet. ayam lumayan besar lho daripada yang di seberangnya & masih juicy lagi, gk kering seperti di seberangnya.  mbaknya juga ramah2, pelayanannya cepat & cantik. kebersihan tempat juga nilai +",[],"['sambal', 'geprek', 'nya', 'mantap', 'konsisten', 'pedasnya', 'ada', 'perubahan', 'yang', 'awalnya', 'berminyak', 'sekali', 'jadi', 'lebih', 'agak', 'kering', 'ada', 'daun', 'jeruk', 'pedas', 'asinnya', 'dapat', 'ayam', 'lumayan', 'besar', 'lho', 'daripada', 'yang', 'di', 'seberangnya', 'masih', 'juicy', 'lagi', 'enggak', 'kering', 'seperti', 'di', 'seberangnya', 'kakaknya', 'juga', 'ramah', 'pelayanannya', 'cepat', 'cantik', 'kebersihan', 'tempat', 'juga', 'nilai']"
reviews_bogo.xlsx,Fir Daus,5,"Enak banget makanan nya , ada playground nya juga jadi gak kawatir anak main aman ",3 months ago,2024-07-20 10:44:58,2024-07-20 10:44:58,enak banget makanan nya ada playground nya juga jadi gak kawatir anak main aman,"['enak', 'banget', 'makanan', 'nya', 'ada', 'playground', 'nya', 'juga', 'jadi', 'gak', 'kawatir', 'anak', 'main', 'aman']","['enak', 'banget', 'makanan', 'nya', 'ada', 'playground', 'nya', 'juga', 'jadi', 'enggak', 'kawatir', 'anak', 'main', 'aman']","Enak banget makanan nya , ada playground nya juga jadi gak kawatir anak main aman ",[],"['enak', 'banget', 'makanan', 'nya', 'ada', 'tempat bermain', 'nya', 'juga', 'jadi', 'enggak', 'kawatir', 'anak', 'main', 'aman']"
reviews_bogo.xlsx,Yashila,2,Tempatnya bagus tapi sayang alat makannya kalo nyuci kurang bersih masa ada nasi kering di piring pas saya makan,4 months ago,2024-06-12 12:05:31,2024-06-12 12:05:31,tempatnya bagus tapi sayang alat makannya kalo nyuci kurang bersih masa ada nasi kering di piring pas saya makan,"['tempatnya', 'bagus', 'tapi', 'sayang', 'alat', 'makannya', 'kalo', 'nyuci', 'kurang', 'bersih', 'masa', 'ada', 'nasi', 'kering', 'di', 'piring', 'pas', 'saya', 'makan']","['tempatnya', 'bagus', 'tapi', 'sayang', 'alat', 'makannya', 'kalau', 'cuci', 'kurang', 'bersih', 'masa', 'ada', 'nasi', 'kering', 'di', 'piring', 'pas', 'saya', 'makan']",Tempatnya bagus tapi sayang alat makannya kalo nyuci kurang bersih masa ada nasi kering di piring pas saya makan,[],"['tempatnya', 'bagus', 'tapi', 'sayang', 'alat', 'makannya', 'kalau', 'cuci', 'kurang', 'bersih', 'masa', 'ada', 'nasi', 'kering', 'di', 'piring', 'pas', 'saya', 'makan']"
reviews_bogo.xlsx,fiatus zakiyah,4,"Tempat nyaman, luas, lengkap ada tempat cuci tangan, kamar mandi, ada mushola juga jadi gak khawatir kalau belum sholat pas sedang perjalanan  ada arena bermain anak jadi bisa sekalian momong si kecil..
Untuk makanan sesuai dengan harganya yang terjangkau..",a year ago,2023-09-18 14:15:13,2023-09-18 14:17:28,tempat nyaman luas lengkap ada tempat cuci tangan kamar mandi ada mushola juga jadi gak khawatir kalau belum sholat pas sedang perjalanan ada arena bermain anak jadi bisa sekalian momong si kecil untuk makanan sesuai dengan harganya yang terjangkau,"['tempat', 'nyaman', 'luas', 'lengkap', 'ada', 'tempat', 'cuci', 'tangan', 'kamar', 'mandi', 'ada', 'mushola', 'juga', 'jadi', 'gak', 'khawatir', 'kalau', 'belum', 'sholat', 'pas', 'sedang', 'perjalanan', 'ada', 'arena', 'bermain', 'anak', 'jadi', 'bisa', 'sekalian', 'momong', 'si', 'kecil', 'untuk', 'makanan', 'sesuai', 'dengan', 'harganya', 'yang', 'terjangkau']","['tempat', 'nyaman', 'luas', 'lengkap', 'ada', 'tempat', 'cuci', 'tangan', 'kamar', 'mandi', 'ada', 'mushola', 'juga', 'jadi', 'enggak', 'khawatir', 'kalau', 'belum', 'sholat', 'pas', 'sedang', 'perjalanan', 'ada', 'arena', 'bermain', 'anak', 'jadi', 'bisa', 'sekalian', 'momong', 'sih', 'kecil', 'untuk', 'makanan', 'sesuai', 'dengan', 'harganya', 'yang', 'terjangkau']","Tempat nyaman, luas, lengkap ada tempat cuci tangan, kamar mandi, ada mushola juga jadi gak khawatir kalau belum sholat pas sedang perjalanan  ada arena bermain anak jadi bisa sekalian momong si kecil..
Untuk makanan sesuai dengan harganya yang terjangkau..",[],"['tempat', 'nyaman', 'luas', 'lengkap', 'ada', 'tempat', 'cuci', 'tangan', 'kamar', 'mandi', 'ada', 'mushola', 'juga', 'jadi', 'enggak', 'khawatir', 'kalau', 'belum', 'Sholat', 'pas', 'sedang', 'perjalanan', 'ada', 'arena', 'bermain', 'anak', 'jadi', 'bisa', 'sekalian', 'momong', 'sih', 'kecil', 'untuk', 'makanan', 'sesuai', 'dengan', 'harganya', 'yang', 'terjangkau']"
